coded_name, name, group, unit, description, image, short_name
Stature , Stature , 0_default,mm,  , stature.png , Stature
Weight , Weight , 1_whole_body ,mm,  , noimage.png , Weight
BMI , Body Mass Index,0_default,,, noimage.png , BMI	
Sitting_Height , Sitting Height, 1_whole_body , mm,  , sit_ht.png , Sitting Ht.
Max_Hip_Breadth_Seated , Hip Breadth Sitting , 1_whole_body ,mm,  , hip_br_sit.png , Hip Br. Sitting
Buttock_Knee_Length , Buttock Knee Length , 5_feet_legs ,mm , , butt_knee_len.png , Butt. Knee Len.
Knee_Height , Knee Height , 5_feet_legs , mm, , knee_ht_sitting.png , Knee Ht.
Head_Circumference , Head Circumference , 2_head , mm ,  , head_circ.png , Head Circ.
Head_Breadth , Head Breadth , 2_head , mm ,  , noimage.png , Head Br.
Shoulder_Breadth , Shoulder Breadth , 4_torso , mm ,  , noimage.png , Sldr. Br.
Shoulder_Elbow_Length , Shoulder Elbow Length , 3_hands_arms , mm ,  , noimage.png , Sldr. Elb. Len.
Upper_Arm_Circumference , Upper Arm Circumference , 3_hands_arms , mm ,  , noimage.png , Upper Arm. Circ.
Elbow_Hand_Length , Elbow Hand Length , 3_hands_arms , mm ,  , noimage.png , Elb. Hand Len.
Forearm_Circumference , Forearm Circumference , 3_hands_arms , mm ,  , noimage.png , Forearm Circ.
Hand_Length , Hand Length , 3_hands_arms , mm ,  , hand_len.png , Hand Lnth.
Hand_Breadth , Hand Breadth , 3_hands_arms , mm ,  , noimage.png , Hand Br.
Chest_Circumference , Chest Circumference , 4_torso , mm ,  , chest_circ.png , Chest Circ.
Waist_Circ , Waist Circumference , 1_whole_body , mm ,  , waist_circ_mid_abd.png , Waist Circ.
Hip_Circumference , Hip Circumference , 1_whole_body , mm ,  , noimage.png , Hip Circ.
Upper_Thigh_Circumference , Upper Thigh Circumference , 5_feet_legs , mm ,  , noimage.png ,  Upper Th. Circ.
Calf_Circumference , Calf Circumference , 5_feet_legs , mm ,  , noimage.png , Calf Circ.
Foot_Length , Foot Length , 5_feet_legs , mm ,  , foot_len.png , Foot. Lnth.
Foot_Breadth , Foot Breadth , 5_feet_legs , mm ,  , noimage.png , Foot. Br.
Vertical_Grip_Reach , Vertical Grip Reach , 3_hands_arms , mm ,  , noimage.png , Vert. Grip Reach
Frontal_Grip_Reach , Frontal Grip Reach , 3_hands_arms , mm ,  , noimage.png , Front. Grip Reach
Lateral_Grip_Reach , Lateral Grip Reach , 3_hands_arms , mm ,  , noimage.png , Lat. Grip Reach
Step_Height , Step Height , 5_feet_legs , mm ,  , noimage.png , Step Ht.
Clavicale_Acromion , Clavicale Acromion , 4_torso , mm ,  , noimage.png , Clav. Acrom.
Biacromial_Breadth , Biacromial Breadth , 4_torso , mm ,  , bi_acro_br.png , Biacr. Br.
Acromion_Radiale_Length , Acromion Radiale Length , 3_hands_arms , mm ,  , acr_radl_lnth.png , Acrom. Rad. Lnth.
Radiale_Stylion_Length , Radiale Stylion Length , 3_hands_arms , mm ,  , radiale_stylion_lnth.png , Rad. Sty. Lnth.
Suprasternale_Height , Suprasternale Height , 4_torso , mm ,  , noimage.png , Supr. Ht.
Iliocristale_Height , Iliocristale Height , 1_whole_body , mm ,  , noimage.png , Ilioc. Ht.
Hip_Breadth_at_Troc , Hip Breath at Trocanter , 1_whole_body , mm ,  , noimage.png , Troc. Ht.
Iliospinale_Height , Iliospinale Height , 4_torso , mm ,  , noimage.png , Ilios. Ht.
Bispinous_Breadth , Bispinous Breadth , 1_full_body , mm ,  , noimage.png , Bisp. Br.
Gluteral_Furrow_Height , Gluteral Furrow Height , 1_whole_body , mm ,  , noimage.png , Glut. Fur. Ht.
Trochanteric_Height , Trochanteric Height , 1_whole_body , mm ,  , troch_ht.png , Troc.Ht.
Tibiale_Height , Tibiale Height , 5_feet_legs , mm ,  , noimage.png , Tib. Ht.
Sphyrion_Height , Sphyrion Height , 5_feet_legs , mm ,  , noimage.png , Sphyrion Ht.
Eye_Height_Sitting , Eye Height Sitting , 1_whole_body , mm ,  , eye_ht_sit.png , Eye Ht. Sitting
Thigh_Breadth_Maximum , Thigh Breadth Maximum , 5_feet_legs , mm ,  , noimage.png , Th. Br. Max.
Thigh_Clearance , Thigh Clearance , 5_feet_legs , mm ,  , noimage.png , Th. Clearance
Head_Length , Head Length , 2_head , mm ,  , noimage.png , Head Lnth.
Neck_Circumference , Neck Circumference , 2_head , mm ,  , noimage.png , Neck Circ.
Neck_Breadth_Lateral , Neck Breadth Lateral , 2_head , mm ,  , noimage.png , Neck Br.
Upper_Arm_Depth , Upper Arm Depth , 3_hands_arms , mm ,  , noimage.png , Upper Arm. Dep
Forearm_Breadth , Forearm Breadth , 3_hands_arms , mm ,  , noimage.png , Forearm Br.
Wrist_Circumference , Wrist Circumference , 3_hands_arms , mm ,  , noimage.png , Wrist Circ.
Wrist_Breadth , Wrist Breadth , 3_hands_arms , mm ,  , noimage.png , Wrist Br.
Chest_Height_at_Axilla , Chest Height at Axilla , 4_torso , mm ,  , noimage.png , Chest Ht. at Ax.
Chest_Breadth_at_Axilla , Chest Breadth at Axilla , 4_torso , mm ,  , noimage.png , Chest Br. at Ax
Waist_Height , Waist Height , 4_torso , mm ,  , noimage.png , Waist Ht.
Waist_Breadth , Waist Breadth , 4_torso , mm ,  , noimage.png , Waist Br.
Waist_Circumference_Natural , Natural Waist Circumference , 4_torso , mm ,  , noimage.png , Waist Circ.
Hip_Height_at_Buttock , Hip Height at Buttock , 4_torso , mm ,  , noimage.png , Hip Ht. at Butt.
Upper_Thigh_Depth , Upper Thigh Depth , 5_feet_legs , mm ,  , noimage.png ,  Upper Th. Dep.
Calf_Circumference_Height , Calf Circumference Height , 5_feet_legs , mm ,  , noimage.png , Calf Circ.
Calf_Depth , Calf Depth , 5_feet_legs , mm ,  , noimage.png , Calf Circ.
Ankle_Circumference , Ankle Circumference , 5_feet_legs , mm ,  , noimage.png , Ankle Circ.
Ankle_Breadth , Ankle Breadth , 5_feet_legs , mm ,  , noimage.png , Ankle Br.
Bizygomatic_Breadth , Bizygomatic Breadth , 2_head , mm ,  , noimage.png , Bizyg. Br.
Frontal_Breadth , Frontal Breadth , 2_head , mm ,  , noimage.png , Frontal Br.
Lower_Face_Height , Lower Face Height , 2_head , mm ,  , noimage.png , Lower Face Ht.
Face_Height , Face Height , 3_hands_arms , mm ,  , noimage.png , Face Ht.
Head_Height , Head Height , 3_hands_arms , mm ,  , noimage.png , Heat Ht.
Tragion_To_B_Head , Tragion to Back Head , 2_head , mm ,  , noimage.png , Trag. to Back of Head
Tragion_To_T_Head , Tragion to Top Head , 2_head , mm ,  , noimage.png , Trag. to Top of Head
Ear_Sellion_Depth , Ear Sellion Depth , 2_head , mm ,  , noimage.png , Ear Sell. Dep.
Bitragion_Breadth , Bitragion Breadth , 2_head , mm ,  , noimage.png , Bitrag. Br.
Mouth_Breadth , Mouth Breadth , 3_hands_arms , mm ,  , noimage.png , Mouth Br.
Nose_Length , Nose Length , 3_hands_arms , mm ,  , noimage.png , Nose Lnth
Minimum_Hand_Clearance , Minimum Hand Clearance , 3_hands_arms , mm ,  , noimage.png , Min. Hand Clearance
Thumb_Crotch_Mid_F , Thumb Crotch Middle Finger Length , 3_hands_arms , mm ,  , noimage.png , Thumb Crotch Mid. Finger
Thumb_Length , Thumb Length , 3_hands_arms , mm ,  , noimage.png , Thumb Lnth.
Thumb_Diameter , Thumb Diameter , 3_hands_arms , mm ,  , noimage.png , Thumb Dmtr.
Index_Finger_Length , Index Finger Length , 3_hands_arms , mm ,  , noimage.png , Index Finger Lnth.
Index_Finger_Diameter , Index Finger Diameter , 3_hands_arms , mm ,  , noimage.png , Index Finger Dmtr.
Middle_Finger_Length , Middle Finger Length , 3_hands_arms , mm ,  , noimage.png , Mid. Finger Lnth.
Middle_Finger_Diameter , Middle Finger Diameter , 3_hands_arms , mm ,  , noimage.png , Mid. Finger Dmtr.
Mid_Finger_Thumb_G , Middle Finger Thumb Grip Length , 3_hands_arms , mm ,  , noimage.png ,  Mid. Finger Thumb Grip
Maximum_Fist_Circumference , Maximum Wrist Circumference , 3_hands_arms , mm ,  , noimage.png , Max. Fist Circ.
Maximum_Fist_Breadth , Maximum Fist Breadth , 3_hands_arms , mm ,  , noimage.png , Max. Fist Br.
Maximum_Fist_Depth ,  Maximum Fist Depth , 3_hands_arms , mm ,  , noimage.png , Max. Fist Dep.
