STATURE,BMI
1830,26.33
1726,24.4
1783,26.16
1669,27.66
1758,19.76
1788,26.82
1829,25.11
1745,27.72
1643,31.64
1698,29.38
1727,30.9
1734,26.65
1684,26.99
1667,25.38
1680,28.53
1785,26.97
1885,24.07
1841,23.13
1702,29.98
1738,33.04
1732,23.58
1739,24
1877,22.48
1725,26.79
1704,26.54
1748,28.16
1647,27.06
1699,21.4
1761,27.28
1671,27.13
1644,29.83
1739,27.51
1749,22.79
1845,30.33
1954,27.18
1844,23.32
1601,23.26
1846,24.95
1672,26.51
1934,28.7
1862,23.87
1694,23.45
1740,28.28
1739,31.28
1719,28.39
1722,25.09
1776,28.02
1897,30.48
1730,26.7
1688,29.59
1692,31.44
1778,28.44
1824,23.72
1744,24.33
1763,28.47
1859,27.02
1669,32.9
1705,23.28
1755,24.16
1756,29.26
1866,25.18
1837,29.75
1758,27.61
1837,26.1
1835,20.41
1756,29.85
1887,26.34
1817,28.53
1720,24.5
1836,27.55
1617,25.57
1670,20.65
1796,24.46
1629,27.7
1731,22.59
1718,27.39
1849,23.85
1850,26.09
1696,29.06
1858,19.05
1795,25.94
1851,28.71
1763,32.86
1809,27.79
1735,29.73
1778,24.73
1708,27.4
1818,26.74
1888,27.37
1872,30.17
1713,28.17
1747,21.34
1726,22.99
1774,24.45
1718,28.63
1740,32.19
1755,26.97
1732,24.36
1685,23.66
1764,23.42
1711,37.22
1766,24.51
1672,26.36
1710,31.24
1726,30.87
1825,20.87
1789,29.49
1661,27.3
1735,26.82
1878,24.39
1740,25.12
1738,24.97
1837,26.79
1743,28.05
1869,24.57
1833,24.58
1644,27.04
1771,26.36
1778,29.89
1907,24.19
1806,20.35
1913,24.74
1879,21.6
1825,24.48
1690,22.49
1789,28.31
1799,22.4
1795,26.45
1741,28.32
1775,24.69
1724,23.84
1671,27.16
1785,26.04
1795,22.78
1741,21.59
1696,24.38
1790,28.15
1761,26.72
1614,21.33
1860,30.11
1726,22.76
1774,23.19
1763,23.61
1815,26.83
1728,29.15
1703,27.1
1770,28.67
1704,27.67
1757,27.41
1750,27.26
1798,21.38
1807,28.53
1623,20.9
1654,27.35
1847,23.66
1703,24.39
1771,25.9
1739,27.27
1775,25.59
1701,31.64
1766,21.96
1797,28.09
1856,25.3
1831,23.87
1742,25.5
1739,26.76
1811,27.79
1870,25.94
1729,26.94
1695,23.1
1826,23.88
1675,24.96
1791,21.04
1711,24.3
1730,26.43
1773,22.38
1676,26.38
1853,24.79
1824,23.2
1728,25.74
1710,26.63
1777,22.47
1789,28
1708,31.8
1746,22.74
1738,32.29
1719,26.77
1735,23.09
1772,24.51
1873,29.81
1697,22.97
1758,24.7
1817,25.63
1870,30.58
1868,27.31
1784,22.71
1763,26.4
1749,26.79
1752,25.77
1784,23.86
1769,22.18
1776,28.54
1733,24.37
1784,25.59
1715,23.5
1778,22.15
1757,30.81
1780,26.87
1794,20.94
1752,25.4
1805,20.65
1803,25.49
1855,23.97
1864,20.6
1714,21.34
1803,27.34
1762,26.17
1823,31.96
1779,22
1894,24.58
1762,30.21
1882,26.13
1836,22.83
1660,25.16
1673,25.42
1871,23.47
1746,28.52
1749,24.39
1730,27.45
1772,25.78
1629,23.16
1654,22.66
1792,27.9
1839,23.15
1689,26.48
1762,22.85
1756,24.46
1704,23.73
1826,25.86
1723,27.47
1757,26.91
1834,26.73
1751,21.58
1678,30.92
1758,24.6
1638,23.97
1651,21.28
1715,22.15
1671,25.45
1754,29.16
1786,30.04
1942,32.9
1685,23.59
1804,22.52
1759,27.11
1671,27.09
1769,23.26
1683,25.87
1692,23.18
1722,23.48
1628,19.19
1659,24.74
1784,24.57
1727,22.42
1869,23.17
1788,24.55
1830,22.1
1701,31
1670,26.86
1729,25.44
1702,25.55
1762,24.72
1706,23.5
1711,26.71
1786,21.51
1806,24.19
1777,28.18
1737,23.61
1804,27.91
1864,30.45
1698,24.89
1710,23.74
1855,29.18
1767,29.61
1842,24.06
1675,29.54
1764,23.13
1724,24.83
1786,27.16
1795,27.21
1731,26.71
1781,23.94
1738,30.71
1763,25.84
1775,29.54
1785,27.8
1822,24.66
1702,25.69
1661,29.15
1695,25.37
1873,22.58
1886,28.31
1819,23.41
1755,25.65
1692,25.39
1761,24.78
1755,23.76
1720,24.29
1842,24.79
1727,21.22
1749,27.56
1693,27.99
1647,21.23
1773,25.13
1796,31.06
1794,26.61
1726,24.09
1736,21.61
1649,24.56
1674,22.15
1703,27.1
1737,26.01
1711,25.73
1615,24.46
1694,27.46
1577,35.05
1793,26.64
1746,29.42
1808,29.5
1712,25.7
1740,28.38
1829,23.68
1652,24.02
1763,24.92
1888,29.51
1725,23.57
1762,28.2
1782,26.39
1798,27.9
1788,24.42
1796,25.98
1758,25
1814,28.9
1700,27.8
1633,23.74
1684,26.92
1823,25
1746,22
1746,25.21
1876,22.5
1820,22.13
1798,24.91
1762,27.02
1696,27.85
1643,24.39
1736,28.72
1755,25.48
1791,27.08
1700,28.85
1705,27.32
1752,22.32
1660,26.01
1666,30.41
1677,21.64
1652,25.14
1828,19.89
1862,25.79
1774,22.15
1714,26.79
1682,24.68
1653,26.23
1763,28.47
1715,27.17
1775,26.79
1741,28.32
1570,22.75
1784,26.81
1651,28.42
1728,27.99
1658,25.85
1638,24.77
1868,28.02
1772,22.24
1660,22.94
1643,21.6
1765,21.37
1750,25.8
1652,31.41
1798,25.32
1753,28.66
1870,26.64
1717,24
1779,21.03
1784,27.35
1672,27.09
1717,29.46
1768,27.52
1703,24.92
1744,24.93
1828,33.04
1885,28.34
1753,25.57
1706,22.98
1741,22
1632,27.1
1792,25.96
1837,24.92
1702,22.66
1782,25.42
1683,25.48
2012,21.3
1854,29.98
1760,27.97
1802,21.85
1744,29.49
1872,27.11
1697,29.66
1867,20.85
1718,24.9
1877,30.81
1704,30.05
1828,21.51
1750,27.19
1709,27.12
1694,23.77
1818,21.87
1787,23.5
1705,19.71
1678,26.86
1642,27.56
1634,23.29
1718,24.56
1754,24.45
1763,23.29
1790,24.21
1623,30.22
1935,27.31
1796,25.98
1806,29.44
1765,33.25
1765,23.36
1804,31.48
1825,26.9
1880,24.02
1673,19.05
1734,24.78
1718,25.73
1675,30.52
1778,28.6
1828,29.8
1756,24.1
1685,23.59
1730,28.99
1672,24.17
1749,25.13
1627,25.42
1781,32.39
1667,20.1
1762,29.16
1814,31.47
1742,29.19
1765,20.71
1892,23.21
1823,26.26
1723,27.5
1748,23.72
1696,20.45
1724,30.18
1715,18.78
1807,22.6
1705,22.44
1771,24.77
1725,27.51
1813,26.55
1656,22.6
1614,27.08
1817,24.7
1857,26.84
1742,21.23
1723,25.06
1687,28.94
1792,22.63
1799,23.34
1657,30.59
1718,28.18
1838,29.12
1764,22.67
1726,24.26
1845,25.54
1704,31.91
1698,26.41
1763,22.53
1715,25.61
1793,31.52
1697,33.06
1818,25.26
1793,27.05
1708,31.1
1707,26.73
1827,24.4
1658,29.33
1671,23.88
1793,37.1
1757,22.49
1644,26.59
1741,26.23
1703,21.69
1772,22.17
1762,28.43
1690,22.56
1814,26.45
1689,23.3
1815,20.24
1762,28.33
1685,29.66
1755,28.13
1920,27.1
1848,23.64
1793,27.97
1712,26.26
1765,20.75
1802,25.99
1737,28.21
1733,25.19
1778,22.12
1747,32.37
1777,28.31
1751,31.85
1580,26.01
1815,25.47
1731,23.41
1727,26.08
1800,30.33
1721,30.8
1834,25.85
1697,24.46
1730,24.01
1712,23.93
1752,24.77
1735,23.23
1770,26.71
1771,29.87
1775,25.37
1792,25.55
1721,24.09
1849,27.94
1702,26.08
1811,23.96
1844,27.55
1667,20.8
1717,30.64
1750,23.87
1795,24.01
1794,31.1
1696,25.34
1788,26.75
1700,27.27
1719,22.73
1834,24.43
1790,24.72
1777,23.08
1719,22.28
1655,25.2
1725,29.73
1771,22.55
1619,22.13
1777,23.5
1782,25.46
1797,28.54
1768,28.47
1840,25.05
1622,28.71
1810,26.29
1662,24.17
1724,21.61
1738,26.76
1638,26.22
1797,25.1
1767,23.41
1792,27.97
1695,22
1785,29.05
1696,27.5
1733,26.44
1803,25.56
1812,28.38
1825,27.76
1875,24.68
1862,23.17
1575,19.56
1731,26.3
1692,26.96
1847,21.36
1653,22.76
1778,22.35
1817,25.75
1663,29.01
1811,24.58
1824,21.02
1734,23.77
1700,25.89
1800,26.3
1752,26.24
1857,24.47
1835,27.03
1667,29.68
1591,23.72
1656,29.37
1777,24.44
1767,27
1845,24.47
1683,26.99
1818,20.14
1720,31.56
1740,24.88
1758,27.11
1707,27.64
1706,26.44
1745,31.03
1733,28.38
1740,24.91
1768,22.99
1800,25.14
1756,23.47
1758,21.17
1818,29.36
1797,30.94
1891,22.15
1858,26.28
1873,27.37
1672,24.76
1659,29.52
1711,25.28
1735,34.03
1807,21.04
1700,21.09
1702,24.84
1810,21.72
1807,27.78
1710,24.79
1804,28.13
1738,28.89
1814,23.33
1795,21.23
1652,28.54
1721,25.78
1674,24.19
1843,26.26
1801,26.05
1780,22.1
1662,25.54
1712,26.85
1778,28.57
1771,24.21
1608,25.55
1682,30.27
1778,25.41
1857,32.37
1744,25.54
1832,33.77
1622,24.99
1742,23.98
1777,29.12
1822,28.77
1748,27.12
1836,24.83
1748,33.83
1712,27.65
1820,24.96
1823,21.72
1690,24.81
1572,27.8
1875,28.56
1811,24.27
1599,29.26
1777,31.54
1730,27.45
1778,27.93
1692,22.75
1850,23.83
1751,29.69
1764,24.28
1813,25.15
1772,27.63
1802,25.62
1722,25.47
1829,26.66
1890,23.06
1807,29.13
1640,27.55
1752,28.86
1675,25.65
1782,27.99
1881,21.49
1831,25.57
1806,25.1
1849,23.41
1728,28.57
1741,27.04
1687,23.78
1778,22.83
1651,29.73
1827,30.54
1806,32.63
1788,28.09
1733,20.47
1886,23.58
1807,23.57
1826,25.04
1740,22.19
1911,24.93
1770,25.12
1785,19.61
1713,27.41
1782,29.05
1685,21.72
1873,23.01
1763,30.24
1778,24.09
1827,24.37
1797,22.03
1821,32.8
1746,22.4
1819,29.39
1766,33.05
1765,24.34
1696,24.03
1752,31.18
1689,25.55
1733,34.11
1726,25.39
1802,27.41
1715,24.54
1767,23.8
1770,22.65
1730,22.38
1655,26.94
1699,28.04
1771,32.43
1660,28.78
1903,20.1
1752,23.58
1714,28.94
1824,28.71
1787,25.31
1809,28.19
1691,25.13
1802,31.45
1740,30.81
1692,26.17
1732,22.12
1759,27.08
1886,27.11
1828,24.04
1664,26.03
1750,25.56
1857,23.06
1775,29.15
1783,24.27
1908,28.92
1748,21.95
1682,30.99
